Name;Birthday;Club;Club2;Club3;Year;League
Daniel Gordon;1985-01-16;Karlsruher SC;;;2020.0;GER-Bundesliga2
Holger Badstuber;1989-03-13;Stuttgart;;;2020.0;GER-Bundesliga2
Gonzalo Castro Randon;1987-06-11;Stuttgart;;;2020.0;GER-Bundesliga2
Mario Gómez García;1985-07-10;Stuttgart;;;2020.0;GER-Bundesliga2
Laurenz Beckemeyer;2000-04-16;Osnabrueck;;;2020.0;GER-Bundesliga2
Simon Haubrock;2000-02-05;Osnabrueck;;;2020.0;GER-Bundesliga2
Leon Matthäus Schmidt;2000-05-11;St. Pauli;;;2020.0;GER-Bundesliga2
Simon Fabio Stehle;2001-09-17;Hannover;;;2020.0;GER-Bundesliga2
Korbinian Müller;1991-02-06;St. Pauli;;;2020.0;GER-Bundesliga2
Jan-Philipp Kalla;1986-08-06;St. Pauli;;;2020.0;GER-Bundesliga2
Marco Grüttner;1985-10-17;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Sören Brandy;1985-05-06;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Patrick Fabian;1987-10-11;Bochum;;;2020.0;GER-Bundesliga2
Stefano Celozzi;1988-11-02;Bochum;;;2020.0;GER-Bundesliga2
Daniel Haas;1983-08-01;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Marco Caligiuri;1984-04-14;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Markus Karl;1986-02-14;Sandhausen;;;2020.0;GER-Bundesliga2
Stefan Kulovits;1983-04-19;Sandhausen;;;2020.0;GER-Bundesliga2
Martin Harnik;1987-06-10;Hamburg;;;2020.0;GER-Bundesliga2
Jan Albrecht;1998-04-12;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Marc Wachs;1995-07-10;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Alf Mintzel;1981-12-21;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Patrick Schönfeld;1989-06-21;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Edmond Kaiser;2000-01-22;Karlsruher SC;;;2020.0;GER-Bundesliga2
Eric Jansen;2000-05-05;Karlsruher SC;;;2020.0;GER-Bundesliga2
Martin Röser;1990-08-13;Karlsruher SC;;;2020.0;GER-Bundesliga2
Tim Danneberg;1986-04-23;Osnabrueck;;;2020.0;GER-Bundesliga2
Giona Leibold;2000-08-22;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Rúrik Gíslason;1988-02-25;Sandhausen;;;2020.0;GER-Bundesliga2
Philipp Ochs;1997-04-17;Hannover;;;2020.0;GER-Bundesliga2
Benedikt Röcker;1989-11-19;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Dominik Kaiser;1988-09-16;Hannover;;;2020.0;GER-Bundesliga2
Babacar Gueye;1994-12-31;Karlsruher SC;;;2020.0;GER-Bundesliga2
Immanuel Höhn;1991-12-23;Darmstadt;;;2020.0;GER-Bundesliga2
Fabian Kalig;1993-03-28;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Jan Hochscheidt;1987-10-04;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Patrick Wiegers;1990-04-19;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Dario Đumić;1992-01-30;Darmstadt;;;2020.0;GER-Bundesliga2
Marco Hartmann;1988-02-25;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Justin Leonard Löwe;1998-12-30;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Erik Zenga;1993-01-18;Sandhausen;;;2020.0;GER-Bundesliga2
Uffe Manich Bech;1993-01-13;Hannover;;;2020.0;GER-Bundesliga2
Stefan Aigner;1987-08-20;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Simon Makienok Christoffersen;1990-11-21;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Oscar Carl Linnér;1997-02-23;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Ivan Paurević;1991-07-01;Sandhausen;;;2020.0;GER-Bundesliga2
David Buchholz;1984-08-05;Osnabrueck;;;2020.0;GER-Bundesliga2
Stefan Kiefer;2001-07-10;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Johannes Flum;1987-12-14;St. Pauli;;;2020.0;GER-Bundesliga2
Jakob Münzner;2000-03-14;St. Pauli;;;2020.0;GER-Bundesliga2
Waldemar Sobota;1987-05-19;St. Pauli;;;2020.0;GER-Bundesliga2
Marc Lais;1991-02-04;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Reinhold Yabo;1992-02-10;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Christoph Moritz;1990-01-27;Hamburg;;;2020.0;GER-Bundesliga2
Sören Gonther;1986-12-15;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Rick Wulle;1994-06-04;Sandhausen;;;2020.0;GER-Bundesliga2
Tim Kister;1986-12-30;Sandhausen;;;2020.0;GER-Bundesliga2
Mërgim Mavraj;1986-06-09;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Kevin Wolze;1990-03-09;Osnabrueck;;;2020.0;GER-Bundesliga2
Matthias Ostrzolek;1990-06-05;Hannover;;;2020.0;GER-Bundesliga2
Marcel Titsch-Rivero;1989-11-02;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Patric Klandt;1983-09-29;Nuernberg;;;2020.0;GER-Bundesliga2
Janis Hanek;1999-02-12;Karlsruher SC;;;2020.0;GER-Bundesliga2
Anton Fink;1987-07-31;Karlsruher SC;;;2020.0;GER-Bundesliga2
Daniel Didavi;1990-02-21;Stuttgart;;;2020.0;GER-Bundesliga2
Thomas Konrad;1989-11-05;Osnabrueck;;;2020.0;GER-Bundesliga2
Marjan Petkovic;1979-05-22;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Benedikt Willert;2001-06-02;Nuernberg;;;2020.0;GER-Bundesliga2
Michael Ratajczak;1982-04-16;Hannover;;;2020.0;GER-Bundesliga2
Aaron Hunt;1986-09-04;Hamburg;;;2020.0;GER-Bundesliga2
Arne Feick;1988-04-01;FC Heidenheim;;;2020.0;GER-Bundesliga2
Alexander Meier;1983-01-17;St. Pauli;;;2020.0;GER-Bundesliga2
Oliver Hein;1990-03-22;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Alexander Nandzik;1992-09-12;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Markus Palionis;1987-05-12;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Mathias Wittek;1989-03-30;Darmstadt;;;2020.0;GER-Bundesliga2
Philipp Zulechner;1990-04-12;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Patrick Ebert;1987-03-17;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Elias Abouchabaka;2000-03-31;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Philipp Klingmann;1988-04-22;Sandhausen;;;2020.0;GER-Bundesliga2
Felix Müller;1993-01-27;Sandhausen;;;2020.0;GER-Bundesliga2
Philipp Heerwagen;1983-04-13;Sandhausen;;;2020.0;GER-Bundesliga2
Oliver Sorg;1990-05-29;Nuernberg;;;2020.0;GER-Bundesliga2
Ewerton Jose Almeida Santos;1989-03-23;Hamburg;;;2020.0;GER-Bundesliga2
Dennis Aogo;1987-01-14;Hannover;;;2020.0;GER-Bundesliga2
Felix Schiller;1989-12-06;Osnabrueck;;;2020.0;GER-Bundesliga2
Jan Vogel;2000-05-24;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
David Trivunic;2001-10-30;Karlsruher SC;;;2020.0;GER-Bundesliga2
Sidney Friede;1998-04-12;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Joost Maurits van Aken;1994-05-13;Osnabrueck;;;2020.0;GER-Bundesliga2
Christopher Avevor;1992-02-11;St. Pauli;;;2020.0;GER-Bundesliga2
Dominik Schmidt;1987-07-01;Holstein Kiel;;;2020.0;GER-Bundesliga2
Ihor Berezovskyi;1990-08-24;Darmstadt;;;2020.0;GER-Bundesliga2
Dennis Kempe;1986-06-24;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Philipp Riese;1989-11-12;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Shawn Parker;1993-03-07;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Felipe Trevizan Martins;1987-05-15;Hannover;;;2020.0;GER-Bundesliga2
Edgar Prib;1989-12-15;Hannover;;;2020.0;GER-Bundesliga2
Hendrik Weydandt;1995-07-16;Hannover;;;2020.0;GER-Bundesliga2
Sebastian Kerk;1994-04-17;Nuernberg;;;2020.0;GER-Bundesliga2
Marc Heider;1986-05-18;Osnabrueck;;;2020.0;GER-Bundesliga2
Änis Ben-Hatira;1988-07-18;Karlsruher SC;;;2020.0;GER-Bundesliga2
Danny Blum;1991-01-07;Bochum;;;2020.0;GER-Bundesliga2
Tanguy Coulibaly;2001-02-18;Stuttgart;;;2020.0;GER-Bundesliga2
Robin Luca Kehr;2000-02-22;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Christopher Gloster;2000-07-28;Hannover;;;2020.0;GER-Bundesliga2
Tim Walbrecht;2001-09-18;Hannover;;;2020.0;GER-Bundesliga2
Marlon Dinger;2001-06-16;Karlsruher SC;;;2020.0;GER-Bundesliga2
Matthäus Taferner;2001-01-30;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Matthew Luke Penney;1998-02-11;St. Pauli;;;2020.0;GER-Bundesliga2
Robin Himmelmann;1989-02-05;St. Pauli;;;2020.0;GER-Bundesliga2
Sebastian Nachreiner;1988-11-23;Jahn Regensburg;;;2020.0;GER-Bundesliga2
André Dej;1992-02-06;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Manuel Prietl;1991-08-03;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Robert Jendrusch;1996-05-28;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Aleksandar Ignjovski;1991-01-27;Holstein Kiel;;;2020.0;GER-Bundesliga2
Samuel Şahin-Radlinger;1992-11-07;Hannover;;;2020.0;GER-Bundesliga2
Jules Schwadorf;1992-10-19;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Lukas Mühl;1997-01-27;Nuernberg;;;2020.0;GER-Bundesliga2
Kyoung-Rok Choi;1995-03-15;Karlsruher SC;;;2020.0;GER-Bundesliga2
Marco Terrazzino;1991-04-15;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Marvin Ajani;1993-10-04;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
René Klingenburg;1993-12-29;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Robin Scheu;1995-02-16;Sandhausen;;;2020.0;GER-Bundesliga2
Marko Mihojević;1996-04-21;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Maximilian Franzke;1999-03-05;St. Pauli;;;2020.0;GER-Bundesliga2
Marlon Sündermann;1998-05-16;Hannover;;;2020.0;GER-Bundesliga2
Maxime Aglago Awoudja;1998-02-02;Stuttgart;;;2020.0;GER-Bundesliga2
Nicolas William Wähling;1997-08-24;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Jairo Samperio Bustara;1993-07-11;Hamburg;;;2020.0;GER-Bundesliga2
Marc Schnatterer;1985-11-18;FC Heidenheim;;;2020.0;GER-Bundesliga2
Daniel Buballa;1990-05-11;St. Pauli;;;2020.0;GER-Bundesliga2
Yi-Young Park;1994-06-29;St. Pauli;;;2020.0;GER-Bundesliga2
Johannes van den Bergh;1986-11-21;Holstein Kiel;;;2020.0;GER-Bundesliga2
Sven Schipplock;1988-11-08;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Patrick Herrmann;1988-03-16;Darmstadt;;;2020.0;GER-Bundesliga2
Vitaly Janelt;1998-05-10;Bochum;;;2020.0;GER-Bundesliga2
Filip Kusić;1996-06-03;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Robert Herrmann;1993-08-10;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Osman Atilgan;1999-08-01;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Daniel Keita-Ruel;1989-09-21;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Louis Jordan Beyer;2000-05-19;Hamburg;;;2020.0;GER-Bundesliga2
Marvin Pourié;1991-01-08;Karlsruher SC;;;2020.0;GER-Bundesliga2
Adam Sušac;1989-05-20;Osnabrueck;;;2020.0;GER-Bundesliga2
David Blacha;1990-10-22;Osnabrueck;;;2020.0;GER-Bundesliga2
Nico Granatowski;1991-06-03;Osnabrueck;;;2020.0;GER-Bundesliga2
Alejandro Pérez Navarro;1991-08-11;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Benedikt Zahn;1996-02-24;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Saša Kalajdžić;1997-07-07;Stuttgart;;;2020.0;GER-Bundesliga2
Nicolai Rapp;1996-12-13;Darmstadt;;;2020.0;GER-Bundesliga2
Diant Ramaj;2001-09-19;FC Heidenheim;;;2020.0;GER-Bundesliga2
Tim Skarke;1996-09-07;Darmstadt;;;2020.0;GER-Bundesliga2
Brian Lukas Koglin;1997-01-07;St. Pauli;;;2020.0;GER-Bundesliga2
Henk Andreas Jacobus Veerman;1991-02-26;St. Pauli;;;2020.0;GER-Bundesliga2
Miloš Pantović;1996-07-07;Bochum;;;2020.0;GER-Bundesliga2
Florian Krüger;1999-02-13;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Paul Jaeckel;1998-07-22;Greuther Fuerth;;;2020.0;GER-Bundesliga2
David Dona Atanga;1996-12-25;Holstein Kiel;;;2020.0;GER-Bundesliga2
Kevin Behrens;1991-02-03;Sandhausen;;;2020.0;GER-Bundesliga2
Marvin Ducksch;1994-03-07;Hannover;;;2020.0;GER-Bundesliga2
Törles Tim Knöll;1997-09-13;Wehen Wiesbaden;Nuernberg;;2020.0;GER-Bundesliga2
Jens Grahl;1988-09-22;Stuttgart;;;2020.0;GER-Bundesliga2
Felix Agu;1999-09-27;Osnabrueck;;;2020.0;GER-Bundesliga2
Iuri José Picanço Medeiros;1994-07-10;Nuernberg;;;2020.0;GER-Bundesliga2
Hamaciré Youba Diarra;1998-03-24;St. Pauli;;;2020.0;GER-Bundesliga2
Darko Churlinov;2000-07-11;Stuttgart;;;2020.0;GER-Bundesliga2
Enrique Manuel Peña Zauner;2000-03-04;Sandhausen;;;2020.0;GER-Bundesliga2
Nathaniel Harry Phillips;1997-03-21;Stuttgart;Stuttgart;;2020.0;GER-Bundesliga2
Robin Hack;1998-08-27;Nuernberg;;;2020.0;GER-Bundesliga2
Cristian Esteban Gamboa Luna;1989-10-24;Bochum;;;2020.0;GER-Bundesliga2
Jordi Martin Emmanuel Osei-Tutu;1998-10-02;Bochum;;;2020.0;GER-Bundesliga2
Atakan Karazor;1996-10-13;Stuttgart;;;2020.0;GER-Bundesliga2
Roberto Massimo;2000-10-12;Stuttgart;;;2020.0;GER-Bundesliga2
Manuel Riemann-Lorenzen;1988-09-09;Bochum;;;2020.0;GER-Bundesliga2
Maxim Leitsch;1998-05-18;Bochum;;;2020.0;GER-Bundesliga2
Danilo Teodoro Soares;1991-10-29;Bochum;;;2020.0;GER-Bundesliga2
Anthony Losilla;1986-03-10;Bochum;;;2020.0;GER-Bundesliga2
Moritz Römling;2001-04-30;Bochum;;;2020.0;GER-Bundesliga2
Simon Zoller;1991-06-26;Bochum;;;2020.0;GER-Bundesliga2
Philipp Förster;1995-02-04;Stuttgart;Sandhausen;;2020.0;GER-Bundesliga2
Michael Esser;1987-11-22;Hannover;;;2020.0;GER-Bundesliga2
Waldemar Riptsov Anton;1996-07-20;Hannover;;;2020.0;GER-Bundesliga2
Genki Haraguchi;1991-05-09;Hannover;;;2020.0;GER-Bundesliga2
Fabian Bredlow;1995-03-02;Stuttgart;;;2020.0;GER-Bundesliga2
Phillip Tietz;1997-07-09;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Philipp Hofmann;1993-03-30;Karlsruher SC;;;2020.0;GER-Bundesliga2
Alexander Niklas Meyer-Schade;1991-04-13;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Patric Pfeiffer;1999-08-20;Darmstadt;;;2020.0;GER-Bundesliga2
Silas Katompa Mvumpa;1998-10-06;Stuttgart;;;2020.0;GER-Bundesliga2
Matthias Bader;1997-06-17;Darmstadt;;;2020.0;GER-Bundesliga2
Vitus Eicher;1990-11-05;FC Heidenheim;;;2020.0;GER-Bundesliga2
Kevin Müller;1991-03-15;FC Heidenheim;;;2020.0;GER-Bundesliga2
Marnon Thomas Busch;1994-12-08;FC Heidenheim;;;2020.0;GER-Bundesliga2
Patrick Mainka;1994-11-06;FC Heidenheim;;;2020.0;GER-Bundesliga2
Mathias Honsak;1996-12-20;Darmstadt;;;2020.0;GER-Bundesliga2
Aaron Seydel;1996-02-07;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Jonas Föhrenbach;1996-01-26;FC Heidenheim;;;2020.0;GER-Bundesliga2
Fabian Holland;1990-07-11;Darmstadt;;;2020.0;GER-Bundesliga2
Tobias Kempe;1989-06-27;Darmstadt;;;2020.0;GER-Bundesliga2
Marvin Mehlem;1997-09-11;Darmstadt;;;2020.0;GER-Bundesliga2
Jannik Müller;1994-01-18;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Marcel Schuhen;1993-01-13;Darmstadt;;;2020.0;GER-Bundesliga2
Benedikt Gimber;1997-02-19;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Fabian Schnellhardt;1994-01-12;Darmstadt;;;2020.0;GER-Bundesliga2
Braydon Marvin Manu;1997-03-28;Darmstadt;;;2020.0;GER-Bundesliga2
Fabian Nürnberger;1999-07-28;Nuernberg;;;2020.0;GER-Bundesliga2
Jamie Leweling;2001-02-26;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Clinton Mola;2001-03-15;Stuttgart;;;2020.0;GER-Bundesliga2
Vasilios Konstantinos Lampropoulos;1990-03-31;Bochum;;;2020.0;GER-Bundesliga2
Kevin Simone Sessa;2000-07-06;FC Heidenheim;;;2020.0;GER-Bundesliga2
Norman Theuerkauf;1987-01-24;FC Heidenheim;;;2020.0;GER-Bundesliga2
Nikola Dovedan;1994-07-06;Nuernberg;;;2020.0;GER-Bundesliga2
Denis Thomalla;1992-08-16;FC Heidenheim;;;2020.0;GER-Bundesliga2
Adrian Markus Fein;1999-03-18;Hamburg;;;2020.0;GER-Bundesliga2
Maximilian Wittek;1995-08-21;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Gerrit Nauber;1992-04-13;Sandhausen;;;2020.0;GER-Bundesliga2
Linton Maina;1999-06-23;Hannover;;;2020.0;GER-Bundesliga2
Daniel-Kofi Kyereh;1996-03-08;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Virgil Roy Misidjan;1993-07-24;Nuernberg;;;2020.0;GER-Bundesliga2
Burak Can Çamoglu;1996-10-05;Karlsruher SC;;;2020.0;GER-Bundesliga2
Justin Möbius;1997-04-21;Karlsruher SC;;;2020.0;GER-Bundesliga2
Pascal Stenzel;1996-03-20;Stuttgart;;;2020.0;GER-Bundesliga2
Tim Kleindienst;1995-08-31;FC Heidenheim;;;2020.0;GER-Bundesliga2
Anas Ouahim;1997-09-23;Osnabrueck;;;2020.0;GER-Bundesliga2
Stefan Schimmer;1994-04-28;FC Heidenheim;;;2020.0;GER-Bundesliga2
Emil Hansson;1998-06-15;Hannover;;;2020.0;GER-Bundesliga2
Mario Engels;1993-10-22;Sandhausen;;;2020.0;GER-Bundesliga2
Timo Bernd Hübers;1996-07-20;Hannover;;;2020.0;GER-Bundesliga2
Josef Hušbauer;1990-03-16;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Marc Stendera;1995-12-10;Hannover;;;2020.0;GER-Bundesliga2
Chung-Yong Lee;1988-07-02;Bochum;;;2020.0;GER-Bundesliga2
Seung-Ho Paik;1997-03-17;Darmstadt;;;2020.0;GER-Bundesliga2
Kevin Friesenbichler;1994-05-06;Osnabrueck;;;2020.0;GER-Bundesliga2
Andreas Lukse;1987-11-08;Nuernberg;;;2020.0;GER-Bundesliga2
Godsway Donyoh;1994-10-14;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Kevin Lankford;1998-11-16;St. Pauli;;;2020.0;GER-Bundesliga2
Ryo Miyaichi;1992-12-14;St. Pauli;;;2020.0;GER-Bundesliga2
Stefan Thesker;1991-04-11;Holstein Kiel;;;2020.0;GER-Bundesliga2
Nils Seufert;1997-02-03;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Andreas Voglsammer;1992-01-09;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Armel Bella-Kotchap;2001-12-11;Bochum;;;2020.0;GER-Bundesliga2
Young-Jae Seo;1995-05-23;Holstein Kiel;;;2020.0;GER-Bundesliga2
Anastasios Donis;1996-08-29;Stuttgart;;;2020.0;GER-Bundesliga2
Timo Letschert;1993-05-25;Hamburg;;;2020.0;GER-Bundesliga2
Mandela Chinweizu Egbo;1997-08-17;Darmstadt;;;2020.0;GER-Bundesliga2
Niklas Hoffmann;1997-04-09;St. Pauli;;;2020.0;GER-Bundesliga2
Kevin Olajinka Ibrahim;2000-05-26;FC Heidenheim;;;2020.0;GER-Bundesliga2
Jonas Wendlinger;2000-07-17;Nuernberg;;;2020.0;GER-Bundesliga2
Julian-Maurice Derstroff;1992-01-05;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Keanu Staude;1997-01-26;Arminia Bielefeld;;;2020.0;GER-Bundesliga2
Sebastian Hertner;1991-05-02;Darmstadt;;;2020.0;GER-Bundesliga2
Leon Müller;2000-08-11;Darmstadt;;;2020.0;GER-Bundesliga2
Felix Dornebusch;1994-07-12;Nuernberg;;;2020.0;GER-Bundesliga2
Dimitrij Nazarov;1990-04-04;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Sören Dieckmann;1996-01-16;Sandhausen;;;2020.0;GER-Bundesliga2
Denis Linsmayer;1991-09-19;Sandhausen;;;2020.0;GER-Bundesliga2
Tim Dierßen;1996-01-15;Hannover;;;2020.0;GER-Bundesliga2
Moritz Kuhn;1991-08-01;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Dennis Lippert;1996-02-20;Nuernberg;;;2020.0;GER-Bundesliga2
David Pisot;1987-07-06;Karlsruher SC;;;2020.0;GER-Bundesliga2
Alexander Groiß;1998-07-01;Karlsruher SC;;;2020.0;GER-Bundesliga2
Maurice Trapp;1991-12-31;Osnabrueck;;;2020.0;GER-Bundesliga2
Marcos Raphael Álvarez Giráldez;1991-09-30;Osnabrueck;;;2020.0;GER-Bundesliga2
Aziz Bouhaddouz;1987-03-30;Sandhausen;;;2020.0;GER-Bundesliga2
Michael Boris Guthörl;1999-01-26;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Roman Hauk;1999-04-15;Sandhausen;;;2020.0;GER-Bundesliga2
Malik Jordan McLemore;1997-01-16;Greuther Fuerth;;;2020.0;GER-Bundesliga2
Lilian Niclas Egloff;2002-08-20;Stuttgart;;;2020.0;GER-Bundesliga2
Tobias Schwede;1994-03-17;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Oliver Steurer;1995-01-06;FC Heidenheim;;;2020.0;GER-Bundesliga2
Christopher Buchtmann;1992-04-25;St. Pauli;;;2020.0;GER-Bundesliga2
Luis Ángel Núñez Coordes;1999-01-02;St. Pauli;;;2020.0;GER-Bundesliga2
Ersin Zehir;1998-01-15;St. Pauli;;;2020.0;GER-Bundesliga2
Tom Weilandt;1992-04-27;Bochum;;;2020.0;GER-Bundesliga2
John-Patrick Strauß;1996-01-28;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Patrick Möschl;1993-03-06;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Alexander Rossipal;1996-06-06;Sandhausen;;;2020.0;GER-Bundesliga2
Philip Türpitz;1991-08-23;Sandhausen;;;2020.0;GER-Bundesliga2
Oliver Hüsing;1993-02-17;FC Heidenheim;;;2020.0;GER-Bundesliga2
Simon Rhein;1998-05-18;Nuernberg;;;2020.0;GER-Bundesliga2
Damian Roßbach;1993-02-27;Karlsruher SC;;;2020.0;GER-Bundesliga2
Nils-Jonathan Körber;1996-11-13;Osnabrueck;;;2020.0;GER-Bundesliga2
Konstantin Engel;1988-07-27;Osnabrueck;;;2020.0;GER-Bundesliga2
Tobias Mißner;2000-02-17;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Carl Leonhard;2001-01-03;Darmstadt;;;2020.0;GER-Bundesliga2
Serkan Dursun;2001-01-30;St. Pauli;;;2020.0;GER-Bundesliga2
Aurel Loubongo-M'Boungou;2001-06-19;St. Pauli;;;2020.0;GER-Bundesliga2
Simon Gollnack;2002-01-29;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Kevin Kunz;1992-01-22;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Philip Michael Heise;1991-06-20;Nuernberg;;;2020.0;GER-Bundesliga2
Tom Mickel;1989-04-19;Hamburg;;;2020.0;GER-Bundesliga2
Stephan Kofi Ambrosius;1998-12-18;Hamburg;;;2020.0;GER-Bundesliga2
Jonas Benjamin Chimezie David;2000-03-08;Hamburg;;;2020.0;GER-Bundesliga2
Bakery Jatta;1998-06-06;Hamburg;;;2020.0;GER-Bundesliga2
Robert-Nesta Glatzel;1994-01-08;FC Heidenheim;;;2020.0;GER-Bundesliga2
Timon Moritz Weiner;1999-01-18;Holstein Kiel;;;2020.0;GER-Bundesliga2
Jonas Meffert;1994-09-04;Holstein Kiel;;;2020.0;GER-Bundesliga2
Philipp Sander;1998-02-21;Holstein Kiel;;;2020.0;GER-Bundesliga2
Daniel Heuer Fernandes;1992-11-13;Hamburg;;;2020.0;GER-Bundesliga2
Lukas Hinterseer;1991-03-28;Hamburg;;;2020.0;GER-Bundesliga2
Paul Horschig;2000-03-01;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Elias Löder;2000-04-25;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Sebastian Alexander Jung;1990-06-22;Hannover;;;2020.0;GER-Bundesliga2
Patrick Erras;1995-01-21;Nuernberg;;;2020.0;GER-Bundesliga2
Moritz Heyer;1995-04-04;Osnabrueck;;;2020.0;GER-Bundesliga2
Patrick Drewes;1993-02-04;Bochum;;;2020.0;GER-Bundesliga2
Finn-Dominik Porath;1997-02-23;Holstein Kiel;;;2020.0;GER-Bundesliga2
Jonas Sterner;2002-05-13;Holstein Kiel;;;2020.0;GER-Bundesliga2
Chris Jörg Löwe;1989-04-16;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Julian Pollersbeck;1994-08-16;Hamburg;;;2020.0;GER-Bundesliga2
Florian-Horst Carstens;1998-11-08;St. Pauli;;;2020.0;GER-Bundesliga2
Dominik Reimann;1997-06-18;Holstein Kiel;;;2020.0;GER-Bundesliga2
André Weis;1989-09-30;Jahn Regensburg;;;2020.0;GER-Bundesliga2
Florian Stritzel;1994-01-31;Darmstadt;;;2020.0;GER-Bundesliga2
Marcel Franke;1993-04-05;Hannover;;;2020.0;GER-Bundesliga2
Malcolm Cacutalua;1994-11-15;Erzgebirge Aue;;;2020.0;GER-Bundesliga2
Barış Fahri Atik;1995-01-09;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Dženis Burnić;1998-05-22;Dynamo Dresden;;;2020.0;GER-Bundesliga2
Emanuel Taffertshofer;1995-02-24;Sandhausen;;;2020.0;GER-Bundesliga2
Fabian Schleusener;1991-10-24;Nuernberg;;;2020.0;GER-Bundesliga2
Sascha Mockenhaupt;1991-09-10;Wehen Wiesbaden;;;2020.0;GER-Bundesliga2
Christoph Kobald;1997-08-18;Karlsruher SC;;;2020.0;GER-Bundesliga2
